"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year.x","targetIds","Year.y","has_GE"
"Wakix","Pitolisant","PITOLISANT","Harmony","CHEMBL462605","H3-receptor antagonist/inverse agonist","Excessive sleepiness due to narcolepsy","narcolepsy","MONDO_0021107","Neurological","P, O",2019,"ENSG00000101180",2019,FALSE
"Pretomanid","Pretomanid","PRETOMANID","Pfizer/Mylan","CHEMBL227875","Antimycobacterial","Tuberculosis","tuberculosis","MONDO_0018076","Infectious","P, O",2019,"",NA,NA
"Rozlytrek","Entrectinib","ENTRECTINIB","Roche","CHEMBL1983268","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2019,"ENSG00000171094; ENSG00000148053; ENSG00000047936; ENSG00000198400; ENSG00000140538",2019,TRUE
"Rinvoq","Upadacitinib","UPADACITINIB","AbbVie","CHEMBL3622821","JAK inhibitor","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Immunology","S",2019,"ENSG00000162434; ENSG00000096968; ENSG00000105397; ENSG00000105639",2019,TRUE
"Inrebic","Fedratinib","FEDRATINIB","Celgene/BMS","CHEMBL1287853","JAK2 and FLT3 inhibitor","Myelofibrosis","myelofibrosis","MONDO_0044903","Hematology","P, O",2019,"ENSG00000122025; ENSG00000096968",2019,TRUE
"Xenleta","Lefamulin","LEFAMULIN","Nabriva","CHEMBL3291398","Pleuromutilin antibacterial","CABP","bacterial pneumonia","EFO_1001272","Respiratory","P",2019,"",NA,NA
"Gallium dotatoc Ga-68","Gallium dotatoc Ga-68","GALLIUM DOTATOC GA-68","UIHC PET Imaging Center","CHEMBL4297340","Radioactive diagnostic","Localization of somatostatin receptor-positive neuroendocrine tumours","neuroendocrine neoplasm","EFO_1001901","Oncology","S, O",2019,"",NA,NA
"Nourianz","Istradefylline","ISTRADEFYLLINE","Kyowa Kirin","CHEMBL431770","Adenosine receptor antagonist","Parkinson disease episodes","Parkinson disease","MONDO_0005180","Neurological","S",2019,"ENSG00000128271",2019,TRUE
"Ibsrela","Tenapanor","TENAPANOR","Ardelyx","CHEMBL3304485","NHE3 inhibitor","IBS with constipation","irritable bowel syndrome","EFO_0000555","Gastrointestinal","S",2019,"ENSG00000066230",2019,FALSE
"Aklief","Trifarotene","TRIFAROTENE","Galderma","CHEMBL3707313","Retinoic acid receptor agonist","Acne vulgaris","acne","EFO_0003894","Dermatology","S",2019,"ENSG00000172819",2019,FALSE
"Beovu","Brolucizumab","BROLUCIZUMAB","Novartis","CHEMBL3707357","VEGF inhibitor","Wet age-related macular degeneration","macular degeneration","EFO_0009606","Ophthalmology","S",2019,"ENSG00000112715",2019,TRUE
"Scenesse","Afamelanotide","AFAMELANOTIDE","Clinuvel","CHEMBL441738","Melanocortin 1 receptor agonist","Erythropoietic protoporphyria","erythropoietic protoporphyria","MONDO_0001676","Dermatology","P, O",2019,"ENSG00000258839",2019,TRUE
"Fluorodopa F-18","Fluorodopa F-18","FLUORODOPA F-18","Feinstein Institutes","CHEMBL3400972","Radioactive diagnostic","Diagnosis of parkinsonian syndromes","Parkinson disease","MONDO_0005180","Neurological","S",2019,"",NA,NA
"Reyvow","Lasmiditan","LASMIDITAN","Eli Lilly","CHEMBL3039520","Serotonin (5-HT) 1F receptor agonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Neurological","S",2019,"ENSG00000179097",2019,FALSE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","TEZACAFTOR","Vertex","CHEMBL3544914","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,"ENSG00000001626; ENSG00000001626",2019,TRUE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","ELEXACAFTOR","Vertex","CHEMBL4298128","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,"ENSG00000001626",2019,TRUE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","IVACAFTOR","Vertex","CHEMBL2010601","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,"ENSG00000001626; ENSG00000001626",2019,TRUE
"ExEm Foam","Air polymer-type A","AIR POLYMER-TYPE A","Giskit","CHEMBL4594264","Ultrasound contrast agent","Assess fallopian tube patency in women with known or suspected infertility","infertility","EFO_0000545","Other","S",2019,"",NA,NA
"Reblozyl","Luspatercept","LUSPATERCEPT","Celgene/BMS","CHEMBL3039545","Erythroid maturation agent","Anaemia in beta-thalassaemia","beta thalassemia; anemia","MONDO_0019402; MONDO_0002280","Hematology","P, O",2019,"ENSG00000105329; ENSG00000092969; ENSG00000119699",2019,TRUE
"Fetroja","Cefiderocol","CEFIDEROCOL","Shionogi","CHEMBL3989974","Cephalosporin antibacterial","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Infectious","P",2019,"",NA,NA
"Brukinsa","Zanubrutinib","ZANUBRUTINIB","BeiGene","CHEMBL3936761","BTK inhibitor","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A",2019,"ENSG00000010671",2019,TRUE
"Adakveo","Crizanlizumab","CRIZANLIZUMAB","Novartis","CHEMBL4297734","P-selectin blocker","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146","Hematology","P, O, B",2019,"ENSG00000174175",2019,FALSE
"Givlaari","Givosiran","GIVOSIRAN","Alnylam","CHEMBL4297760","ALAS1-directed siRNA","Acute hepatic porphyria","acute hepatic porphyria","Orphanet_95157","Metabolic","P, O, B",2019,"ENSG00000023330",2019,FALSE
"Xcopri","Cenobamate","CENOBAMATE","SK Life Science","CHEMBL3989949","Unknown","Partial onset seizures","seizure","HP_0001250","Neurological","S",2019,"ENSG00000168356; ENSG00000196876; ENSG00000186297; ENSG00000185313; ENSG00000144285; ENSG00000151834; ENSG00000153253; ENSG00000011677; ENSG00000187730; ENSG00000109158; ENSG00000022355; ENSG00000166206; ENSG00000183873; ENSG00000182256; ENSG00000136531; ENSG00000145864; ENSG00000169432; ENSG00000268089; ENSG00000145863; ENSG00000094755; ENSG00000163288; ENSG00000113327; ENSG00000136546; ENSG00000102287; ENSG00000163285; ENSG00000007314",2019,TRUE
"Oxbryta","Voxelotor","VOXELOTOR","Global Blood Therapeutics","CHEMBL4101807","Haemoglobin S polymerization inhibitor","SCD (sickle cell disease)","sickle cell anemia","MONDO_0011382","Hematology","P, O, B, A",2019,"ENSG00000206172; ENSG00000244734; ENSG00000188536",2019,TRUE
"Vyondys 53","Golodirsen","GOLODIRSEN","Sarepta","CHEMBL4297762","Exon 53 skipping antisense","Duchenne muscular dystrophy","duchenne muscular dystrophy","MONDO_0010679","Neurological","P, O, A",2019,"ENSG00000198947",2019,TRUE
"Padcev","Enfortumab vedotin","ENFORTUMAB VEDOTIN","Astellas","CHEMBL3301589","Nectin-4-directed ADC","Urothelial cancers","urothelial neoplasm","MONDO_0024337","Oncology","P, B, A",2019,"ENSG00000101162; ENSG00000167552; ENSG00000261456; ENSG00000127824; ENSG00000123416; ENSG00000258947; ENSG00000198033; ENSG00000188229; ENSG00000152086; ENSG00000137267; ENSG00000104833; ENSG00000167553; ENSG00000137285; ENSG00000143217; ENSG00000196230; ENSG00000176014",2019,TRUE
"Tissueblue","Brilliant Blue G","BRILLIANT BLUE G","Dutch Ophthalmic Research","CHEMBL4173394","Brilliant Blue G dye","Staining the internal limiting membrane",NA,NA,"Other","P, O",2019,"",NA,NA
"Dayvigo","Lemborexant","LEMBOREXANT","Eisai","CHEMBL3545367","Orexin receptor antagonist","Insomnia","insomnia","EFO_0004698","Neurological","S",2019,"ENSG00000137252; ENSG00000121764",2019,TRUE
"Enhertu","Trastuzumab deruxtecan","TRASTUZUMAB DERUXTECAN","Daiichi Sankyo/AstraZeneca","CHEMBL4297844","HER2-directed ADC","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, B, A",2019,"ENSG00000141736; ENSG00000198900",2019,TRUE
"Caplyta","Lumateperone","LUMATEPERONE","Intra-Cellular Therapies","CHEMBL3306803","Atypical antipsychotic","Schizophrenia","schizophrenia","MONDO_0005090","Neurological","S",2019,"ENSG00000108576; ENSG00000102468; ENSG00000149295",2019,TRUE
"Ubrelvy","Ubrogepant","UBROGEPANT","Allergan","CHEMBL2364638","CGRP receptor antagonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Neurological","S",2019,"ENSG00000064989",2019,TRUE
"Ayvakit","Avapritinib","AVAPRITINIB","Blueprint Medicines","CHEMBL4204794","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B",2020,"ENSG00000157404; ENSG00000134853",2020,TRUE
"Tepezza","Teprotumumab","TEPROTUMUMAB","Horizon Therapeutics","CHEMBL1743079","IGF1R-directed mAb","Thyroid eye disease","Graves disease","EFO_0004237","Ophthalmology","P, O, B",2020,"ENSG00000140443",2020,FALSE
"Tazverik","Tazemetostat","TAZEMETOSTAT","Epizyme","CHEMBL3414621","EZH2 inhibitor","Epithelioid sarcoma","epithelioid sarcoma","MONDO_0017387","Oncology","P, O, A",2020,"ENSG00000106462",2020,TRUE
"Pizensy","Lactitol","LACTITOL","Braintree Labs","CHEMBL1661","Osmotic laxative","Chronic idiopathic constipation","Chronic constipation","HP_0012450","Other","S",2020,"",NA,NA
"Vyepti","Eptinezumab","EPTINEZUMAB","Lundbeck","CHEMBL3833320","CGRP-directed mAb","Migraine","migraine disorder","MONDO_0005277","Other","S",2020,"ENSG00000110680; ENSG00000175868",2020,TRUE
"Nexletol","Bempedoic acid","BEMPEDOIC ACID","Esperion Therapeutics","CHEMBL3545313","ACL inhibitor","HeFH or atherosclerotic cardiovascular disease","atherosclerosis; familial hypercholesterolemia","EFO_0003914; EFO_0004911","Cardiovascular","S",2020,"ENSG00000131473",2020,FALSE
"Barhemsys","Amisulpride","AMISULPRIDE","Acacia","CHEMBL243712","Dopamine receptors D2 & D3 antagonist","Nausea and vomiting after surgery","Nausea and vomiting","HP_0002017","Other","S",2020,"ENSG00000164270; ENSG00000157219; ENSG00000158748; ENSG00000151577; ENSG00000166736; ENSG00000186090; ENSG00000178084; ENSG00000102468; ENSG00000149305; ENSG00000179097; ENSG00000135914; ENSG00000178394; ENSG00000168830; ENSG00000149295; ENSG00000147246; ENSG00000186038; ENSG00000148680; ENSG00000135312; ENSG00000179546",2020,FALSE
"Nurtec ODT","Rimegepant","RIMEGEPANT","Biohaven","CHEMBL2178422","CGRP receptor antagonist","Migraine","migraine disorder","MONDO_0005277","Other","S",2020,"ENSG00000064989",2020,TRUE
"Sarclisa","Isatuximab","ISATUXIMAB","Sanofi","CHEMBL3545131","CD38-directed mAb","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","S, O",2020,"ENSG00000004468",2020,TRUE
"Isturisa","Osilodrostat","OSILODROSTAT","Recordati Rare Diseases","CHEMBL3099695","Cortisol synthesis inhibitor","Cushing disease","Cushing syndrome","EFO_0003099","Endocrine","S, O",2020,"ENSG00000160882",2020,TRUE
"Zeposia","Ozanimod","OZANIMOD","Celgene/Bristol Myers Squibb","CHEMBL3707247","S1P receptor modulator","Multiple sclerosis","multiple sclerosis","MONDO_0005301","Other","S",2020,"ENSG00000170989",2020,TRUE
"Koselugo","Selumetinib","SELUMETINIB","AstraZeneca","CHEMBL1614701","MEK1/2 kinase inhibitor","Neurofibromatosis type 1","neurofibromatosis type 1","MONDO_0018975","Other","P, O, B",2020,"ENSG00000169032; ENSG00000126934",2020,TRUE
"Tukysa","Tucatinib","TUCATINIB","Seagen","CHEMBL3989868","HER2 kinase inhibitor","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, O, B",2020,"ENSG00000141736",2020,TRUE
"Pemazyre","Pemigatinib","PEMIGATINIB","Incyte","CHEMBL4297522","FGFR1-3 kinase inhibitor","Cholangiocarcinoma","cholangiocarcinoma","EFO_0005221","Oncology","P, O, B, A",2020,"ENSG00000066468; ENSG00000068078; ENSG00000077782",2020,TRUE
"Trodelvy","Sacituzumab govitecan","SACITUZUMAB GOVITECAN","Immunomedics/Gilead","CHEMBL3545262","TROP2-directed ADC, with topoisomerase inhibitor","Triple-negative breast cancer (and advanced or metastatic urothelial cancer (mUC)*)","triple-negative breast cancer; urothelial carcinoma","EFO_0005537; EFO_0008528","Oncology","P, B, A",2020,"ENSG00000184292; ENSG00000198900",2020,TRUE
"Ongentys","Opicapone","OPICAPONE","Neurocrine","CHEMBL1089318","COMT inhibitor","Parkinson disease","parkinson disease","MONDO_0005180","Neurological","S",2020,"ENSG00000093010",2020,TRUE
"Tabrecta","Capmatinib","CAPMATINIB","Novartis","CHEMBL3188267","MET kinase inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000105976",2020,TRUE
"Retevmo","Selpercatinib","SELPERCATINIB","Eli Lilly/Loxo Oncology","CHEMBL4559134","RET kinase inhibitor","RET fusion-positive NSCLC and thyroid cancer","non-small cell lung carcinoma; thyroid cancer","EFO_0003060; MONDO_0002108","Oncology","P, O, B, A",2020,"ENSG00000108091; ENSG00000165731; ENSG00000170759",2020,TRUE
"Qinlock","Ripretinib","RIPRETINIB","Deciphera","CHEMBL4216467","KIT and PDGFRA kinase inhibitor","GIST","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B",2020,"ENSG00000134853; ENSG00000157404",2020,TRUE
"Fluoroestradiol F-18","Fluoroestradiol F-18","FLUOROESTRADIOL F-18","Zionexa","CHEMBL4594261","Radioactive diagnostic","Imaging, breast cancer",NA,NA,"Imaging","S",2020,"",NA,NA
"Artesunate","Artesunate","ARTESUNATE","Amivas","CHEMBL361497","Artemisinin antimalarial","Severe malaria","malaria","EFO_0001068","Infectious","P, O, B",2020,"",NA,NA
"Flortaucipir F-18","Flortaucipir F-18","FLORTAUCIPIR F-18","Eli Lilly","CHEMBL3545253","Radioactive diagnostic","Imaging, tau in Alzheimer disease",NA,NA,"Imaging","P",2020,"",NA,NA
"Uplizna","Inebilizumab","INEBILIZUMAB","Viela Bio","CHEMBL2109334","CD19-directed mAb","NMOSD","neuromyelitis optica","EFO_0004256","Neurological","S, O, B",2020,"ENSG00000177455",2020,FALSE
"Zepzelca","Lurbinectedin","LURBINECTEDIN","Jazz","CHEMBL4297516","Alkylating drug","Small-cell lung cancer","small cell lung carcinoma","EFO_0000702","Oncology","P, O, A",2020,"",NA,NA
"Dojolvi","Triheptanoin","TRIHEPTANOIN","Ultragenyx","CHEMBL4297585","Medium-chain triglyceride","LC-FAODs","inherited fatty acid metabolism disorder","MONDO_0037858","Metabolic","S, O",2020,"",NA,NA
"Rukobia","Fostemsavir","FOSTEMSAVIR","ViiV Healthcare","CHEMBL3301594","Attachment inhibitor","HIV","hiv infection","EFO_0000764","Infectious","P, B",2020,"",NA,NA
"Byfavo","Remimazolam","REMIMAZOLAM","Acacia","CHEMBL4297526","Benzodiazepine","Procedural sedation","sedation","EFO_0009868","Other","S",2020,"ENSG00000102287; ENSG00000163288; ENSG00000186297; ENSG00000145864; ENSG00000113327; ENSG00000011677; ENSG00000094755; ENSG00000163285; ENSG00000151834; ENSG00000109158; ENSG00000268089; ENSG00000187730; ENSG00000182256; ENSG00000022355; ENSG00000145863; ENSG00000166206",2020,TRUE
"Inqovi","Cedazuridine; decitabine","CEDAZURIDINE","Otsuka","CHEMBL3237547","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","myelodysplastic syndrome","EFO_0000198","Hematology","P, O",2020,"ENSG00000158825",2020,TRUE
"Inqovi","Cedazuridine; decitabine","DECITABINE","Otsuka","CHEMBL1201129","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","myelodysplastic syndrome","EFO_0000198","Hematology","P, O",2020,"ENSG00000130816; ENSG00000119772",2020,TRUE
"Xeglyze","Abametapir","ABAMETAPIR","Dr Reddy‚Äôs","CHEMBL2205807","Metalloproteinase inhibitor","Head lice","lice infestation","MONDO_0003472","Dermatology","S",2020,"",NA,NA
"Monjuvi","Tafasitamab","TAFASITAMAB","MorphoSys","CHEMBL4298047","CD19-directed mAb","DLBCL","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A",2020,"ENSG00000177455",2020,TRUE
"Blenrep","Belantamab mafodotin","BELANTAMAB MAFODOTIN","GlaxoSmithKline","CHEMBL4298209","BCMA-directed ADC, with microtubule inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2020,"ENSG00000048462; ENSG00000152086; ENSG00000167553; ENSG00000188229; ENSG00000137267; ENSG00000176014; ENSG00000261456; ENSG00000127824; ENSG00000123416; ENSG00000137285; ENSG00000258947; ENSG00000167552; ENSG00000198033; ENSG00000196230; ENSG00000104833; ENSG00000101162",2020,TRUE
"Lampit","Nifurtimox","NIFURTIMOX","Bayer","CHEMBL290960","Nitrofuran antiprotozoal","Chagas disease","chagas disease","MONDO_0001444","Infectious","P, O, A",2020,"",NA,NA
"Olinvyk","Oliceridine","OLICERIDINE","Trevena","CHEMBL2443262","Opioid receptor agonist","Acute pain","pain","EFO_0003843","Other","S",2020,"ENSG00000112038",2020,FALSE
"Evrysdi","Risdiplam","RISDIPLAM","Roche/Genentech","CHEMBL4297528","SMN2 splicing modifier","Spinal muscular atrophy","spinal muscular atrophy","EFO_0008525","Neurological","P, O",2020,"ENSG00000205571",2020,TRUE
"Viltepso","Viltolarsen","VILTOLARSEN","Nippon Shinyaku","CHEMBL4298062","Dystrophin splicing modifier","Duchenne muscular dystrophy","duchenne muscular dystrophy","MONDO_0010679","Neurological","P, O, A",2020,"ENSG00000198947",2020,TRUE
"Enspryng","Satralizumab","SATRALIZUMAB","Roche/Genentech","CHEMBL3833307","IL-6R-directed mAb","NMOSD","neuromyelitis optica","EFO_0004256","Neurology","S, O, B",2020,"ENSG00000160712; ENSG00000134352",2020,TRUE
"Winlevi","Clascoterone","CLASCOTERONE","Cassiopea SpA","CHEMBL3590187","Androgen receptor inhibitor","Acne vulgaris","acne","EFO_0003894","Dermatology","S",2020,"ENSG00000169083",2020,TRUE
"Sogroya","Somapacitan","SOMAPACITAN","Novo Nordisk","CHEMBL3707290","Growth hormone analogue","Growth hormone deficiency","short stature due to partial GHR deficiency","MONDO_0011420","Endocrine","S",2020,"ENSG00000112964",2020,TRUE
"Copper dotatate Cu-64","Copper dotatate Cu-64","COPPER DOTATATE CU-64","Radiomedix","CHEMBL4297339","Radioactive diagnostic","Imaging, cancer",NA,NA,"Imaging","P, O",2020,"",NA,NA
"Gavreto","Pralsetinib","PRALSETINIB","Blueprint Medicines/Roche","CHEMBL4582651","RET kinase inhibitor","RET fusion-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000108091; ENSG00000170759; ENSG00000165731",2020,TRUE
"Inmazeb","Atoltivimab; odesivimab; maftivimab","ATOLTIVIMAB","Regeneron","CHEMBL4298183","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Infectious","P, O, B",2020,"",NA,NA
"Inmazeb","Atoltivimab; odesivimab; maftivimab","ODESIVIMAB","Regeneron","CHEMBL4298188","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Infectious","P, O, B",2020,"",NA,NA
"Inmazeb","Atoltivimab; odesivimab; maftivimab","MAFTIVIMAB","Regeneron","CHEMBL4298184","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Infectious","P, O, B",2020,"",NA,NA
"Veklury","Remdesivir","REMDESIVIR","Gilead","CHEMBL4065616","Nucleotide analogue RNA polymerase inhibitor","COVID-19","covid-19","MONDO_0100096","Infectious","P",2020,"",NA,NA
"Zokinvy","Lonafarnib","LONAFARNIB","Eiger","CHEMBL298734","Farnesyltransferase inhibitor","HGPS","hutchinson-gilford progeria syndrome","MONDO_0008310","Other","P, O, B",2020,"ENSG00000257365; ENSG00000168522",2020,FALSE
"Oxlumo","Lumasiran","LUMASIRAN","Alnylam","CHEMBL4297779","HAO1-directed siRNA","Hyperoxaluria type 1","primary hyperoxaluria type 1","MONDO_0009823","Nephrology","P, O, B",2020,"ENSG00000101323",2020,FALSE
"Danyelza","Naxitamab","NAXITAMAB","Y-mAbs Therapeutics","CHEMBL4297984","GD2-directed mAb","High-risk neuroblastoma","neuroblastoma","EFO_0000621","Oncology","P, O, B, A",2020,"",NA,NA
"Imcivree","Setmelanotide","SETMELANOTIDE","Rhythm","CHEMBL3301624","Melanocortin receptor 4 agonist","Rare genetic diseases of obesity","Bardet-Biedl syndrome","MONDO_0015229","Other","P, O, B",2020,"ENSG00000166603",2020,TRUE
"PSMA-11 Ga-68","PSMA-11 Ga-68","PSMA-11 GA-68","UCLA","CHEMBL4297335","Radioactive diagnostic","Imaging, prostate cancer",NA,NA,"Imaging","S",2020,"",NA,NA
"Orladeyo","Berotralstat","BEROTRALSTAT","BioCryst","CHEMBL4594271","Plasma kallikrein inhibitor","Hereditary angioedema","hereditary angioedema","MONDO_0019623","Immunology","S, O",2020,"ENSG00000164344",2020,FALSE
"Klisyri","Tirbanibulin","TIRBANIBULIN","Athenex","CHEMBL571546","Microtubule inhibitor","Actinic keratosis","actinic keratosis","EFO_0002496","Dermatology","S",2020,"ENSG00000197122",2020,TRUE
"Margenza","Margetuximab","MARGETUXIMAB","MacroGenics","CHEMBL2364649","HER2-directed mAb","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","S",2020,"ENSG00000141736",2020,TRUE
"Orgovyx","Relugolix","RELUGOLIX","Myovant Sciences","CHEMBL1800159","GnRH receptor antagonist","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2020,"ENSG00000109163",2020,TRUE
"Ebanga","Ansuvimab","ANSUVIMAB","Ridgeback","CHEMBL4594388","Ebola glycoprotein-directed mAb","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Infectious","P, O, B",2020,"",NA,NA
"Gemtesa","Vibegron","VIBEGRON","Urovant Sciences","CHEMBL2107826","Beta-3 adrenergic receptor agonist","Overactive bladder","overactive bladder","EFO_1000781","Other","S",2020,"ENSG00000188778",2020,FALSE
"Verquvo","Vericiguat","Vericiguat","Merck & Co./Bayer","CHEMBL4066936","sGC stimulator","Chronic heart failure","coronary artery disease","EFO_0001645","Cardiovascular","P",2021,"ENSG00000123201; ENSG00000061918; ENSG00000152402; ENSG00000164116",2021,TRUE
"Cabenuva Kit","Cabotegravir; rilpivirine","Cabotegravir","ViiV","CHEMBL2403238","INSTI and an NNRTI","HIV-1 infection",NA,NA,"Infectious","P",2021,"",NA,NA
"Cabenuva Kit","Cabotegravir; rilpivirine","rilpivirine","ViiV","CHEMBL175691","INSTI and an NNRTI","HIV-1 infection",NA,NA,"Infectious","P",2021,"",NA,NA
