"...1","Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Priority","Breakthrough","Accelerated","Orphan","drugType","Standard"
1,"Lutathera","Lutetium Lu 177 dotatate","LUTETIUM LU 177 DOTATATE","Advanced Accelerator Applications/Novartis","CHEMBL3989924","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503","Oncology","P, O",2018,"ENSG00000139874, ENSG00000162009, ENSG00000278195, ENSG00000132671, ENSG00000180616",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
4,"Erleada","Apalutamide","APALUTAMIDE","Johnson & Johnson","CHEMBL3183409","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2018,"ENSG00000169083",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
16,"Mektovi","Binimetinib","BINIMETINIB","Array BioPharma","CHEMBL3187723","MEK inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000169032, ENSG00000126934",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
17,"Braftovi","Encorafenib","ENCORAFENIB","Array BioPharma","CHEMBL3301612","BRAF inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000157764",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
18,"Tibsovo","Ivosidenib","IVOSIDENIB","Agios Pharmaceuticals","CHEMBL3989958","IDH1 inhibitor","IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)","acute myeloid leukemia; cholangiocarcinoma","EFO_0000222; EFO_0005221","Oncology","P, O",2018,"ENSG00000138413",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
22,"Poteligeo","Mogamulizumab","MOGAMULIZUMAB","Kyowa Hakko Kirin","CHEMBL1743041","CCR4 antibody","mycosis fungoides or Sezary syndrome","mycosis fungoides","EFO_1001051","Oncology","P, O, B",2018,"ENSG00000183813",TRUE,TRUE,TRUE,FALSE,TRUE,"Antibody",FALSE
30,"Lumoxiti","Moxetumomab pasudotox","MOXETUMOMAB PASUDOTOX","AstraZeneca","CHEMBL1743043","CD22-directed antibody‚Äìdrug conjugate","Hairy cell leukaemia","hairy cell leukemia","EFO_1000956","Oncology","P, O",2018,"ENSG00000167658, ENSG00000012124",TRUE,TRUE,FALSE,FALSE,TRUE,"Antibody",FALSE
32,"Copiktra","Duvelisib","DUVELISIB","Verastem","CHEMBL3039502","PI3K inhibitor","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906","Oncology","P, O, A",2018,"ENSG00000105851, ENSG00000171608",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
34,"Vizimpro","Dacomitinib","DACOMITINIB","Pfizer","CHEMBL2105719","EGFR inhibitor","EGFR-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O",2018,"ENSG00000178568, ENSG00000146648, ENSG00000141736",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
35,"Libtayo","Cemiplimab","CEMIPLIMAB","Regeneron/Sanofi","CHEMBL4297723","PD1 antibody","CSCC, BCC(*), NSCLC(*)","cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma","EFO_1001927; EFO_0004193; EFO_0003060","Oncology","P, B",2018,"ENSG00000188389",TRUE,TRUE,TRUE,FALSE,FALSE,"Antibody",FALSE
38,"Talzenna","Talazoparib","TALAZOPARIB","Pfizer","CHEMBL3137320","PARP inhibitor","BRCA-mutated HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P",2018,"ENSG00000143799, ENSG00000129484",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
39,"Lorbrena","Lorlatinib","LORLATINIB","Pfizer","CHEMBL3286830","ALK and ROS1 inhibitor","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2018,"ENSG00000171094, ENSG00000143924",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
42,"Daurismo","Glasdegib","GLASDEGIB","Pfizer","CHEMBL2043437","Hedgehog pathway inhibitor","AML",NA,"EFO_0000222","Oncology","P, O",2018,"ENSG00000128602",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
43,"Vitrakvi","Larotrectinib","LAROTRECTINIB","Loxo Oncology/Bayer","CHEMBL3889654","TRKA, TRKB and TRKC inhibitor","NTRK-positive solid cancers","salivary gland cancer; soft tissue sarcoma; thyroid cancer","MONDO_0004669; EFO_1001968; MONDO_0002108","Oncology","P, O, B, A",2018,"ENSG00000148053, ENSG00000198400, ENSG00000140538",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
44,"Xospata","Gilteritinib","GILTERITINIB","Astellas","CHEMBL3301622","FLT3 inhibitor","FLT3-positive AML","acute myeloid leukemia","EFO_0000222","Oncology","P, O, B",2018,"ENSG00000122025, ENSG00000167601",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
47,"Asparlas","Calaspargase pegol","CALASPARGASE PEGOL","Servier","CHEMBL2108728","Asparagine specific enzyme","ALL","acute lymphoblastic leukemia","EFO_0000220","Oncology","S, O",2018,"ENSG00000166183",FALSE,FALSE,FALSE,FALSE,TRUE,"Enzyme",TRUE
49,"Elzonris","Tagraxofusp","TAGRAXOFUSP","Stemline Therapeutics","CHEMBL4297573","IL-3 and diphtheria toxin fusion protein","Blastic plasmacytoid dendritic cell neoplasm","blastic plasmacytoid dendritic cell neoplasm","EFO_0010580","Oncology","P, O, B",2018,"ENSG00000167658, ENSG00000185291",FALSE,TRUE,TRUE,FALSE,TRUE,"Protein",FALSE
56,"Balversa","Erdafitinib","ERDAFITINIB","Janssen /J&J","CHEMBL3545376","FGFR inhibitor","Bladder cancer","urinary bladder carcinoma","MONDO_0004986","Oncology","P, B, A",2019,"ENSG00000077782, ENSG00000066468, ENSG00000160867, ENSG00000068078",TRUE,TRUE,TRUE,TRUE,FALSE,"Small molecule",FALSE
59,"Piqray","Alpelisib","ALPELISIB","Novartis","CHEMBL2396661","PI3K inhibitor","Breast cancer","breast cancer","MONDO_0007254","Oncology","P",2019,"ENSG00000121879",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
60,"Polivy","Polatuzumab vedotin","POLATUZUMAB VEDOTIN","Roche","CHEMBL3301582","CD79b-directed ADC","Diffuse large B-cell lymphoma","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A",2019,"ENSG00000198033, ENSG00000167552, ENSG00000261456, ENSG00000176014, ENSG00000258947, ENSG00000123416, ENSG00000101162, ENSG00000188229, ENSG00000152086, ENSG00000007312, ENSG00000137285, ENSG00000167553, ENSG00000196230, ENSG00000137267, ENSG00000127824, ENSG00000104833",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
62,"Xpovio","Selinexor","SELINEXOR","Karyopharm Therapeutics","CHEMBL3545185","XPO1 inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, A",2019,"ENSG00000082898",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
64,"Nubeqa","Darolutamide","DAROLUTAMIDE","Bayer","CHEMBL4297185","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2019,"ENSG00000169083",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
65,"Turalio","Pexidartinib","PEXIDARTINIB","Daiichi Sankyo","CHEMBL3813873","CSF1R, KIT and FLT3 inhibitor","Tenosynovial giant cell tumour","Tenosynovial Giant Cell Tumor","EFO_1000562","Oncology","P, O, B",2019,"ENSG00000182578, ENSG00000122025, ENSG00000157404",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
67,"Rozlytrek","Entrectinib","ENTRECTINIB","Roche","CHEMBL1983268","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2019,"ENSG00000148053, ENSG00000198400, ENSG00000140538, ENSG00000047936, ENSG00000171094",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
81,"Brukinsa","Zanubrutinib","ZANUBRUTINIB","BeiGene","CHEMBL3936761","BTK inhibitor","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A",2019,"ENSG00000010671",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
87,"Padcev","Enfortumab vedotin","ENFORTUMAB VEDOTIN","Astellas","CHEMBL3301589","Nectin-4-directed ADC","Urothelial cancers","urothelial neoplasm","MONDO_0024337","Oncology","P, B, A",2019,"ENSG00000143217, ENSG00000101162, ENSG00000167552, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000258947, ENSG00000198033, ENSG00000188229, ENSG00000152086, ENSG00000137267, ENSG00000104833, ENSG00000167553, ENSG00000137285, ENSG00000196230, ENSG00000176014",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
89,"Enhertu","Trastuzumab deruxtecan","TRASTUZUMAB DERUXTECAN","Daiichi Sankyo/AstraZeneca","CHEMBL4297844","HER2-directed ADC","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, B, A",2019,"ENSG00000141736, ENSG00000198900",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
92,"Ayvakit","Avapritinib","AVAPRITINIB","Blueprint Medicines","CHEMBL4204794","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B",2020,"ENSG00000157404, ENSG00000134853",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
94,"Tazverik","Tazemetostat","TAZEMETOSTAT","Epizyme","CHEMBL3414621","EZH2 inhibitor","Epithelioid sarcoma","epithelioid sarcoma","MONDO_0017387","Oncology","P, O, A",2020,"ENSG00000106462",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
99,"Sarclisa","Isatuximab","ISATUXIMAB","Sanofi","CHEMBL3545131","CD38-directed mAb","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","S, O",2020,"ENSG00000004468",TRUE,FALSE,FALSE,FALSE,TRUE,"Antibody",TRUE
103,"Tukysa","Tucatinib","TUCATINIB","Seagen","CHEMBL3989868","HER2 kinase inhibitor","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, O, B",2020,"ENSG00000141736",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
104,"Pemazyre","Pemigatinib","PEMIGATINIB","Incyte","CHEMBL4297522","FGFR1-3 kinase inhibitor","Cholangiocarcinoma","cholangiocarcinoma","EFO_0005221","Oncology","P, O, B, A",2020,"ENSG00000066468, ENSG00000068078, ENSG00000077782",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
105,"Trodelvy","Sacituzumab govitecan","SACITUZUMAB GOVITECAN","Immunomedics/Gilead","CHEMBL3545262","TROP2-directed ADC, with topoisomerase inhibitor","Triple-negative breast cancer (and advanced or metastatic urothelial cancer (mUC)*)","triple-negative breast cancer; urothelial carcinoma","EFO_0005537; EFO_0008528","Oncology","P, B, A",2020,"ENSG00000198900, ENSG00000184292",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
107,"Tabrecta","Capmatinib","CAPMATINIB","Novartis","CHEMBL3188267","MET kinase inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000105976",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
108,"Retevmo","Selpercatinib","SELPERCATINIB","Eli Lilly/Loxo Oncology","CHEMBL4559134","RET kinase inhibitor","RET fusion-positive NSCLC and thyroid cancer","non-small cell lung carcinoma; thyroid cancer","EFO_0003060; MONDO_0002108","Oncology","P, O, B, A",2020,"ENSG00000108091, ENSG00000165731, ENSG00000170759",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
109,"Qinlock","Ripretinib","RIPRETINIB","Deciphera","CHEMBL4216467","KIT and PDGFRA kinase inhibitor","GIST","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B",2020,"ENSG00000157404, ENSG00000134853",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
116,"Monjuvi","Tafasitamab","TAFASITAMAB","MorphoSys","CHEMBL4298047","CD19-directed mAb","DLBCL","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A",2020,"ENSG00000177455",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
117,"Blenrep","Belantamab mafodotin","BELANTAMAB MAFODOTIN","GlaxoSmithKline","CHEMBL4298209","BCMA-directed ADC, with microtubule inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2020,"ENSG00000048462, ENSG00000152086, ENSG00000167553, ENSG00000188229, ENSG00000137267, ENSG00000176014, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000137285, ENSG00000258947, ENSG00000167552, ENSG00000198033, ENSG00000196230, ENSG00000104833, ENSG00000101162",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
125,"Gavreto","Pralsetinib","PRALSETINIB","Blueprint Medicines/Roche","CHEMBL4582651","RET kinase inhibitor","RET fusion-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000170759, ENSG00000165731, ENSG00000108091",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
132,"Margenza","Margetuximab","MARGETUXIMAB","MacroGenics","CHEMBL2364649","HER2-directed mAb","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","S",2020,"ENSG00000141736",TRUE,FALSE,FALSE,FALSE,FALSE,"Antibody",TRUE
133,"Orgovyx","Relugolix","RELUGOLIX","Myovant Sciences","CHEMBL1800159","GnRH receptor antagonist","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2020,"ENSG00000109163",TRUE,TRUE,FALSE,FALSE,FALSE,"Small molecule",FALSE
137,"Tepmetko","Tepotinib","Tepotinib","EMD Serono","CHEMBL3402762","MET kinase inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, A",2021,"ENSG00000105976",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
138,"Ukoniq","Umbralisib","Umbralisib","TG Therapeutics","CHEMBL3948730","PI3Kdelta and CK1epsilon inhibitor","MZL, follicular lymphoma","MZL; follicular lymphoma","EFO_1000630; MONDO_0018906","Oncology","P, O, B, A",2021,"ENSG00000171608, ENSG00000097007, ENSG00000213923",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
140,"Cosela","Trilaciclib","Trilaciclib","G1 Therapeutics","CHEMBL3894860","CDK4 and CDK6 kinase inhibitor","Chemotherapy-induced myelosuppression","myelosuppression; small cell lung carcinoma","EFO_0007053; EFO_0000702","Oncology","P, B",2021,"ENSG00000135446, ENSG00000105810",TRUE,TRUE,TRUE,FALSE,FALSE,"Small molecule",FALSE
145,"Fotivda","Tivozanib","Tivozanib","Aveo","CHEMBL1289494","VEGFR kinase inhibitor","Renal cell carcinoma","renal cell carcinoma","EFO_0000681","Oncology","S",2021,"ENSG00000102755, ENSG00000128052, ENSG00000037280, ENSG00000157404, ENSG00000113721",TRUE,FALSE,FALSE,FALSE,FALSE,"Small molecule",TRUE
151,"Jemperli","Dostarlimab","Dostarlimab","GlaxoSmithKline","CHEMBL4298124","PD1-targeted mAb","Endometrial cancer","endometrial cancer","MONDO_0011962","Oncology","P, B, A",2021,"ENSG00000188389",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
152,"Zynlonta","Loncastuximab tesirine","Loncastuximab tesirine","ADC Therapeutics","CHEMBL4297778","CD19-targeted ADC","B-cell lymphoma","B-cell non-Hodgkins lymphoma","EFO_1001938","Oncology","P, O, A",2021,"ENSG00000177455",TRUE,TRUE,FALSE,TRUE,TRUE,"Antibody",FALSE
154,"Rybrevant","Amivantamab","Amivantamab","J&J","CHEMBL4297774","EGFRxMETR bispecific antibody","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, B, A",2021,"ENSG00000105976, ENSG00000146648",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
156,"Truseltiq","Infigratinib","Infigratinib","BridgeBio","CHEMBL1852688","FGFR2 kinase inhibitor","FGFR2-mutated bile duct cancer","bile duct cancer","MONDO_0003059","Oncology","P, O, A",2021,"ENSG00000160867, ENSG00000068078, ENSG00000066468, ENSG00000077782",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
157,"Lumakras","Sotorasib","Sotorasib","Amgen","CHEMBL4535757","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2021,"ENSG00000133703",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
166,"Welireg","Belzutifan","Belzutifan","Merck & Co.","CHEMBL4585668","HIF-2alpha inhibitor","von Hippel-Lindau disease","von Hippel-Lindau disease","MONDO_0008667","Oncology","P, O",2021,"ENSG00000116016",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
169,"Exkivity","Mobocertinib","Mobocertinib","Takeda","CHEMBL4650319","EGFR kinase inhibitor","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2021,"ENSG00000146648",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
170,"Tivdak","Tisotumab vedotin","Tisotumab vedotin","Seagen/Genmab","CHEMBL4297841","Tissue-factor-directed ADC","Cervical cancer","cervical cancer","MONDO_0002974","Oncology","P, A",2021,"ENSG00000117525, ENSG00000167552, ENSG00000258947, ENSG00000137267, ENSG00000188229, ENSG00000176014, ENSG00000261456, ENSG00000123416, ENSG00000198033, ENSG00000196230, ENSG00000167553, ENSG00000152086, ENSG00000104833, ENSG00000137285, ENSG00000101162, ENSG00000127824",TRUE,TRUE,FALSE,TRUE,FALSE,"Antibody",FALSE
174,"Scemblix","Asciminib","Asciminib","Novartis","CHEMBL4208229","ABL/BCR-ABL1  kinase inhibitor","Ph+ CML","Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive","EFO_1000131","Oncology","P, O, B, A",2021,"ENSG00000097007",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
