"...1","Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Priority","Breakthrough","Accelerated","Orphan","drugType","Standard"
175,"Besremi","Ropeginterferon alfa-2b","Ropeginterferon alfa-2b","Pharmaessentia","CHEMBL4297819","PEGylated interferon alpha-2b","Polycythaemia vera","polycythemia vera","EFO_0002429","Oncology","S, O",2021,"ENSG00000142166, ENSG00000159110",TRUE,FALSE,FALSE,FALSE,TRUE,"Protein",TRUE
183,"Krazati","Adagrasib","Adagrasib","Mirati","CHEMBL4594350","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","S, O, B, A",2022,"ENSG00000133703",TRUE,FALSE,TRUE,TRUE,TRUE,"Small molecule",TRUE
189,"Lytgobi","Futibatinib","Futibatinib","Taiho Oncology","CHEMBL3701238","FGFR kinase inhibitor","FGFR2-aberrant intrahepatic cholangiocarcinoma","intrahepatic cholangiocarcinoma","EFO_1001961","Oncology","P, O, B, A",2022,"ENSG00000068078, ENSG00000077782, ENSG00000160867, ENSG00000066468",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
191,"Pluvicto","Lutetium Lu-177 vipivotide tetraxetan","Lutetium Lu-177 vipivotide tetraxetan","Novartis","CHEMBL4594406","PSMA-binding radioligand therapeutic agent","PSMA-positive prostate cancer","prostate carcinoma","EFO_0001663","Oncology","P, B",2022,"ENSG00000142515",TRUE,TRUE,TRUE,FALSE,FALSE,"Small molecule",FALSE
193,"Elahere","Mirvetuximab soravtansine","Mirvetuximab soravtansine","ImmunoGen","CHEMBL3545132","FR_-targeted antibody-drug conjugate","Ovarian cancer","ovarian carcinoma","EFO_0001075","Oncology","P, O, A",2022,"ENSG00000110195, ENSG00000127824, ENSG00000152086, ENSG00000261456, ENSG00000101162, ENSG00000188229, ENSG00000104833, ENSG00000258947, ENSG00000123416, ENSG00000198033, ENSG00000167553, ENSG00000137285, ENSG00000167552, ENSG00000176014, ENSG00000137267, ENSG00000196230",TRUE,TRUE,FALSE,TRUE,TRUE,"Antibody",FALSE
195,"Lunsumio","Mosunetuzumab","Mosunetuzumab","Roche/Genentech","CHEMBL4297788","CD20 _ CD3 bispecific antibody","Follicular lymphoma","follicular lymphoma","MONDO_0018906","Oncology","P, O, B, A",2022,"ENSG00000167286, ENSG00000156738, ENSG00000198851, ENSG00000160654",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
197,"Rezlidhia","Olutasidenib","Olutasidenib","Rigel/Forma","CHEMBL4297610","IDH1 inhibitor","IDH1-mutated AML","acute myeloid leukemia","EFO_0000222","Oncology","S, O",2022,"ENSG00000138413",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
199,"Vonjo","Pacritinib","Pacritinib","CTI Biopharma","CHEMBL2035187","JAK2 inhibitor","Myelofibrosis","myelofibrosis","MONDO_0044903","Oncology","P, O, A",2022,"ENSG00000096968, ENSG00000122025",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
200,"Opdualag","Relatlimab; nivolumab","Relatlimab","Bristol Myers Squibb","CHEMBL3990044","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","melanoma","EFO_0000756","Oncology","P, O",2022,"ENSG00000089692",TRUE,TRUE,FALSE,FALSE,TRUE,"Antibody",FALSE
205,"Kimmtrak","Tebentafusp","Tebentafusp","Immunocore","CHEMBL4297990","gp100 peptide HLA _ CD3 bispecific T-cell engager","Uveal melanoma","Uveal Melanoma","EFO_1000616","Oncology","P, O, B",2022,"ENSG00000185664",FALSE,TRUE,TRUE,FALSE,TRUE,"Protein",FALSE
206,"Tecvayli","Teclistamab","Teclistamab","J&J","CHEMBL4594505","BCMA _ CD3 bispecific antibody","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2022,"ENSG00000048462, ENSG00000160654, ENSG00000198851, ENSG00000167286",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
210,"Imjudo","Tremelimumab","Tremelimumab","AstraZeneca","CHEMBL2108658","CTLA4-targeted mAb","Hepatocellular carcinoma","hepatocellular carcinoma","EFO_0000182","Oncology","S, O",2022,"ENSG00000163599",TRUE,FALSE,FALSE,FALSE,TRUE,"Antibody",TRUE
218,"Kisqali","Ribociclib","RIBOCICLIB","Novartis","CHEMBL3545110","CDK4/6 inhibitor","HR-positive, HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P, B",2017,"ENSG00000105810, ENSG00000135446",TRUE,TRUE,TRUE,FALSE,FALSE,"Small molecule",FALSE
221,"Bavencio","Avelumab","AVELUMAB","Merck KGaA/Pfizer","CHEMBL3833373","PDL1-blocking antibody","Merkel cell carcinoma","Merkel cell skin cancer","EFO_1001471","Oncology","P, O, B, A",2017,"ENSG00000120217",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
222,"Zejula","Niraparib","NIRAPARIB","Tesaro","CHEMBL1094636","PARP inhibitor","Epithelial ovarian, fallopian tube or primary peritoneal cancer","fallopian tube cancer; ovarian epithelial tumor; primary peritoneal carcinoma","MONDO_0002158; MONDO_0002229; MONDO_0015686","Oncology","P, O, B",2017,"ENSG00000129484, ENSG00000143799",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
228,"Rydapt","Midostaurin","MIDOSTAURIN","Novartis","CHEMBL608533","FLT3 inhibitor","FLT3-positive AML","acute myeloid leukemia, FLT3 internal tandem duplication","MONDO_0100415","Oncology","P, O, B",2017,"ENSG00000163932, ENSG00000115825, ENSG00000166501, ENSG00000171132, ENSG00000163558, ENSG00000184304, ENSG00000065675, ENSG00000126583, ENSG00000027075, ENSG00000067606, ENSG00000154229, ENSG00000128052, ENSG00000122025, ENSG00000157404, ENSG00000134853, ENSG00000113721",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
230,"Alunbrig","Brigatinib","BRIGATINIB","Ariad Pharmaceuticals/Takeda","CHEMBL3545311","ALK inhibitor","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2017,"ENSG00000171094, ENSG00000146648",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
231,"Imfinzi","Durvalumab","DURVALUMAB","AstraZeneca","CHEMBL3301587","PDL1-blocking antibody","Urothelial carcinoma","urothelial carcinoma","EFO_0008528","Oncology","P, B, A",2017,"ENSG00000120217",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
235,"Nerlynx","Neratinib","NERATINIB","Puma Biotechnology","CHEMBL180022","EGFR, HER2 and HER4 irreversible kinase inhibitor","HER2-overexpressed breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","S",2017,"ENSG00000178568, ENSG00000146648, ENSG00000141736",TRUE,FALSE,FALSE,FALSE,FALSE,"Small molecule",TRUE
236,"Idhifa","Enasidenib mesylate","ENASIDENIB MESYLATE","Celgene/Agios","CHEMBL3989931","IDH2 inhibitor","IDH2-mutated AML","acute myeloid leukemia","EFO_0000222","Oncology","P, O",2017,"ENSG00000182054",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
237,"Besponsa","Inotuzumab ozogamicin","INOTUZUMAB OZOGAMICIN","Pfizer","CHEMBL2108611","CD22-directed antibody‚Äìdrug conjugate","B cell precursor ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511","Oncology","P, O, B",2017,"ENSG00000012124",TRUE,TRUE,TRUE,FALSE,TRUE,"Antibody",FALSE
238,"Aliqopa","Copanlisib dihydrochloride","COPANLISIB","Bayer","CHEMBL3218576","PI3Kalpha/Œ¥ inhibitor","Follicular lymphoma","follicular lymphoma","MONDO_0018906","Oncology","P, O, A",2017,"ENSG00000171608, ENSG00000121879",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
239,"Verzenio","Abemaciclib","ABEMACICLIB","Eli Lilly","CHEMBL3301610","CDK4/6 inhibitor","HR-positive, HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P, B",2017,"ENSG00000105810, ENSG00000135446",TRUE,TRUE,TRUE,FALSE,FALSE,"Small molecule",FALSE
240,"Calquence","Acalabrutinib","ACALABRUTINIB","AstraZeneca/Acerta Pharma","CHEMBL3707348","BTK inhibitor","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A",2017,"ENSG00000010671",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
254,"Venclexta","Venetoclax","VENETOCLAX","AbbVie","CHEMBL3137309","BCL-2 inhibitor","Chronic lymphocytic leukaemia","chronic lymphocytic leukemia","EFO_0000095","Oncology","P, O, B, A",2016,"ENSG00000171791",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
256,"Tecentriq","Atezolizumab","ATEZOLIZUMAB","Genentech","CHEMBL3707227","PDL1 inhibitor","Urothelial carcinoma","urothelial carcinoma","EFO_0008528","Oncology","P, B, A",2016,"ENSG00000120217",TRUE,TRUE,TRUE,TRUE,FALSE,"Antibody",FALSE
264,"Lartruvo","Olaratumab","OLARATUMAB","Eli Lilly","CHEMBL1743049","PDGFRalpha-blocking antibody","Soft tissue sarcoma","soft tissue sarcoma","EFO_1001968","Oncology","P, O, B, A",2016,"ENSG00000134853",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
266,"Rubraca","Rucaparib","RUCAPARIB","Clovis Oncology","CHEMBL1173055","PARP inhibitor","BRCA-positive ovarian cancer","ovarian cancer","MONDO_0008170","Oncology","P, O, B, A",2016,"ENSG00000041880, ENSG00000129484, ENSG00000143799",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
276,"Cyramza","Ramucirumab","RAMUCIRUMAB","Eli Lilly","CHEMBL1743062","VEGFR2 antagonist","Gastric cancer","gastric cancer","MONDO_0001056","Oncology","P, O",2014,"ENSG00000128052",TRUE,TRUE,FALSE,FALSE,TRUE,"Antibody",FALSE
278,"Zykadia","Ceritinib","CERITINIB","Novartis","CHEMBL2403108","Kinase inhibitor against ALK, IGF1R, insulin receptor and ROS1","ALK-positive metastatic NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2014,"ENSG00000171094, ENSG00000143924, ENSG00000181163",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
288,"Keytruda","Pembrolizumab","PEMBROLIZUMAB","Merck & Co.","CHEMBL3137343","PD1-specific antibody","Metastatic melanoma *and others (2021 approval)","metastatic melanoma","EFO_0002617","Oncology","P, O, B, A",2014,"ENSG00000188389, ENSG00000120217",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
294,"Blincyto","Blinatumomab","BLINATUMOMAB","Amgen","CHEMBL1742992","CD19- and CD3-bispecific antibody","B-ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511","Oncology","P, O, B, A",2014,"ENSG00000177455, ENSG00000160654, ENSG00000167286, ENSG00000198851",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
295,"Lynparza","Olaparib","OLAPARIB","AstraZeneca","CHEMBL521686","PARP inhibitor","Advanced BRCA-mutated ovarian cancer","ovarian cancer","MONDO_0008170","Oncology","P, O, A",2014,"ENSG00000143799, ENSG00000041880, ENSG00000129484",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
296,"Opdivo","Nivolumab","NIVOLUMAB","Bristol-Myers Squibb","CHEMBL2108738","PD1 inhibitor","Unresectable or metastatic melanoma","metastatic melanoma","EFO_0002617","Oncology","P, O, B, A",2014,"ENSG00000188389, ENSG00000120217",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
300,"Ibrance","Palbociclib","PALBOCICLIB","Pfizer","CHEMBL189963","CDK4 and CDK6 inhibitor","ER-positive, HER2-negative advanced breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P, B, A",2015,"ENSG00000135446, ENSG00000110092, ENSG00000105810",TRUE,TRUE,TRUE,TRUE,FALSE,"Small molecule",FALSE
301,"Lenvima","Lenvatinib","LENVATINIB","Eisai","CHEMBL1289601","VEGFR inhibitor","Thyroid cancer","thyroid cancer","MONDO_0002108","Oncology","P, O",2015,"ENSG00000037280, ENSG00000128052, ENSG00000102755",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
302,"Farydak","Panobinostat","PANOBINOSTAT","Novartis","CHEMBL483254","Histone deacetylase inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, A",2015,"ENSG00000100429, ENSG00000196591, ENSG00000163517, ENSG00000061273, ENSG00000068024, ENSG00000048052, ENSG00000116478, ENSG00000108840, ENSG00000094631, ENSG00000171720, ENSG00000147099",TRUE,TRUE,FALSE,TRUE,TRUE,"Small molecule",FALSE
312,"Odomzo","Sonidegib","SONIDEGIB","Novartis","CHEMBL2105737","Smoothened inhibitor","Basal cell carcinoma","basal cell carcinoma","EFO_0004193","Oncology","S",2015,"ENSG00000128602",TRUE,FALSE,FALSE,FALSE,FALSE,"Small molecule",TRUE
317,"Lonsurf","Tipiracil; trifluridine","TIPIRACIL","Taiho","CHEMBL235668","Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor","Colorectal cancer","colorectal cancer","EFO_0005842","Oncology","S",2015,"ENSG00000025708",TRUE,FALSE,FALSE,FALSE,FALSE,"Small molecule",TRUE
323,"Cotellic","Cobimetinib","COBIMETINIB","Genentech","CHEMBL2146883","MEK inhibitor","Melanoma with BRAFV600E/K mutations","melanoma","EFO_0000756","Oncology","P, O",2015,"ENSG00000126934, ENSG00000169032",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
324,"Tagrisso","Osimertinib","OSIMERTINIB","AstraZeneca","CHEMBL3353410","EGFR inhibitor","NSCLC with EGFRT790M mutations","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2015,"ENSG00000146648",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
325,"Darzalex","Daratumumab","DARATUMUMAB","Johnson & Johnson","CHEMBL1743007","CD38-directed mAb","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2015,"ENSG00000004468",TRUE,TRUE,TRUE,TRUE,TRUE,"Antibody",FALSE
326,"Ninlaro","Ixazomib","IXAZOMIB","Takeda","CHEMBL2141296","Oral proteasome inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O",2015,"ENSG00000165916, ENSG00000240065, ENSG00000159377, ENSG00000108671, ENSG00000100804, ENSG00000161057, ENSG00000154611, ENSG00000159352, ENSG00000100902, ENSG00000013275, ENSG00000173692, ENSG00000101182, ENSG00000103035, ENSG00000129084, ENSG00000142507, ENSG00000222028, ENSG00000197170, ENSG00000175166, ENSG00000205220, ENSG00000100764, ENSG00000277791, ENSG00000136930, ENSG00000099341, ENSG00000163636, ENSG00000185627, ENSG00000127922, ENSG00000115233, ENSG00000087191, ENSG00000108344, ENSG00000204264, ENSG00000100519, ENSG00000100567, ENSG00000143106, ENSG00000126067, ENSG00000130706, ENSG00000106588, ENSG00000008018, ENSG00000041357",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
327,"Portrazza","Necitumumab","NECITUMUMAB","Eli Lilly","CHEMBL1743047","EGFR antagonist","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","S, O",2015,"ENSG00000146648",TRUE,FALSE,FALSE,FALSE,TRUE,"Antibody",TRUE
328,"Empliciti","Elotuzumab","ELOTUZUMAB","Bristol-Myers Squibb","CHEMBL1743010","SLAMF7-directed mAb","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B",2015,"ENSG00000026751",TRUE,TRUE,TRUE,FALSE,TRUE,"Antibody",FALSE
330,"Alecensa","Alectinib","ALECTINIB","Roche","CHEMBL1738797","ALK inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2015,"ENSG00000171094, ENSG00000143924, ENSG00000165731",TRUE,TRUE,TRUE,TRUE,TRUE,"Small molecule",FALSE
335,"Pomalyst","Pomalidomide","POMALIDOMIDE","Celgene","CHEMBL43452","Immunomodulatory antineoplastic agent","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","S, O",2013,"ENSG00000167986, ENSG00000139842, ENSG00000113851, ENSG00000100387",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
336,"Kadcyla","Ado-trastuzumab emtansine","TRASTUZUMAB EMTANSINE","Genentech","CHEMBL1743082","HER2-targeted antibody and microtubule inhibitor conjugate","HER2-positive metastatic breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P",2013,"ENSG00000167553, ENSG00000196230, ENSG00000137285, ENSG00000123416, ENSG00000176014, ENSG00000137267, ENSG00000101162, ENSG00000258947, ENSG00000261456, ENSG00000188229, ENSG00000104833, ENSG00000127824, ENSG00000198033, ENSG00000167552, ENSG00000152086, ENSG00000141736",TRUE,TRUE,FALSE,FALSE,FALSE,"Antibody",FALSE
344,"Tafinlar","Dabrafenib","DABRAFENIB","GSK","CHEMBL2028663","Kinase inhibitor with activity against BRAFV600E, BRAFV600K, BRAFV600D, wild-type BRAF and other kinases","Unresectable or metastatic melanoma with BRAF(V600E) mutation as detected by an FDA-approved test","metastatic melanoma","EFO_0002617","Oncology","S, O",2013,"ENSG00000157764",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
345,"Mekinist","Trametinib","TRAMETINIB","GSK","CHEMBL2103875","MEK1 and MEK2 kinase inhibitor","Unresectable or metastatic melanoma with BRAF(V600E) mutation as detected by an FDA-approved test","metastatic melanoma","EFO_0002617","Oncology","S, O",2013,"ENSG00000169032, ENSG00000126934",TRUE,FALSE,FALSE,FALSE,TRUE,"Small molecule",TRUE
346,"Gilotrif","Afatinib","AFATINIB","Boehringer Ingelheim","CHEMBL1173655","EGFR (ERBB1), HER2 (ERBB2), and HER4 (ERRB4) kinase inhibitor","First-line treatment of patients with metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O",2013,"ENSG00000141736, ENSG00000146648, ENSG00000178568",TRUE,TRUE,FALSE,FALSE,TRUE,"Small molecule",FALSE
353,"Gazyva","Obinutuzumab","OBINUTUZUMAB","Genentech","CHEMBL1743048","Humanized CD20-specific monoclonal antibody","Previously untreated chronic lymphocytic leukaemia","chronic lymphocytic leukemia","EFO_0000095","Oncology","P, O, B",2013,"ENSG00000156738",TRUE,TRUE,TRUE,FALSE,TRUE,"Antibody",FALSE
355,"Imbruvica","Ibrutinib","IBRUTINIB","Pharmacyclics","CHEMBL1873475","Bruton's tyrosine kinase inhibitor","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469","Oncology","P, O, B",2013,"ENSG00000010671",TRUE,TRUE,TRUE,FALSE,TRUE,"Small molecule",FALSE
