Year,type,fraction,count,label_ypos,
2013,noH,22.22222222,6,88.88888889,273
2014,noH,29.26829268,12,85.36585366,
2015,noH,24.44444444,11,87.77777778,
2016,noH,18.18181818,4,90.90909091,
2017,noH,19.56521739,9,90.2173913,
2018,noH,23.72881356,14,88.13559322,
2019,noH,18.75,9,90.625,
2020,noH,20.75471698,11,89.62264151,
2021,noH,12,6,94,
2022,noH,16.21621622,6,91.89189189,
2013,without_GE,3.703703704,1,75.92592593,
2014,without_GE,19.51219512,8,60.97560976,
2015,without_GE,15.55555556,7,67.77777778,
2016,without_GE,9.090909091,2,77.27272727,
2017,without_GE,17.39130435,8,71.73913043,
2018,without_GE,11.86440678,7,70.33898305,
2019,without_GE,18.75,9,71.875,
2020,without_GE,16.98113208,9,70.75471698,
2021,without_GE,16,8,80,
2022,without_GE,21.62162162,8,72.97297297,
2013,GE_noH,74.07407407,20,37.03703704,0.68
2014,GE_noH,51.2195122,21,25.6097561,0.714
2015,GE_noH,60,27,30,0.918
2016,GE_noH,72.72727273,16,36.36363636,0.544
2017,GE_noH,63.04347826,29,31.52173913,0.986
2018,GE_noH,64.40677966,38,32.20338983,1.292
2019,GE_noH,62.5,30,31.25,1.02
2020,GE_noH,62.26415094,33,31.13207547,1.122
2021,GE_noH,72,36,36,1.224
2022,GE_noH,62.16216216,23,31.08108108,0.782
,,,,,0.9282