Year,n_filtered,count_GE,n,GE_fraction_noH_before,GE_fraction_noH_after,noH,without_GE_count,noH_fraction,without_GE_fraction
2013,21,20,27,37.03703704,37.03703704,6,1,22.22222222,3.703703704
2014,29,21,41,25.6097561,25.6097561,12,8,29.26829268,19.51219512
2015,34,27,45,30,30,11,7,24.44444444,15.55555556
2016,18,16,22,36.36363636,36.36363636,4,2,18.18181818,9.090909091
2017,37,29,46,31.52173913,31.52173913,9,8,19.56521739,17.39130435
2018,45,38,59,32.20338983,32.20338983,14,7,23.72881356,11.86440678
2019,39,30,48,43.75,18.75,9,9,18.75,18.75
2020,42,33,53,46.69811321,15.56603774,11,9,20.75471698,16.98113208
2021,44,36,50,61.2,10.8,6,8,12,16
2022,31,23,37,55.94594594,6.216216216,6,8,16.21621622,21.62162162